,pre_contrast_index,early_contrast_index,late_contrast_index
615989,0,2,6
618717,0,2,5
618860,0,2,6
628788,0,2,6
628823,0,2,6
629371,0,2,6
629547,0,2,6
629606,0,2,5
630943,0,2,6
631299,0,2,6
635632,0,2,6
637141,0,2,5
638126,0,2,6
641246,0,2,5
641697,0,2,5
641977,0,2,6
647765,0,2,5
648709,0,2,5
649198,0,2,5
651145,0,2,6
652480,0,2,5
653262,0,2,4
653325,0,2,6
653927,0,2,6
654021,0,2,6
654064,0,2,5
654160,0,2,6
655128,0,2,6
661730,0,2,6
663144,0,2,5
664111,0,2,6
671590,0,2,6
677910,0,2,6
678626,0,2,6
680881,0,2,5
683896,0,2,6
685795,0,2,5
687288,0,2,6
687913,0,2,6
688291,0,2,6
688955,0,2,6
689076,0,2,6
689452,0,2,6
689480,0,2,6
690089,0,2,6
691753,0,2,6
694964,0,2,5
695521,0,2,6
698094,0,2,6
700549,0,2,6
704451,0,2,6
706639,0,2,6
709261,0,2,6
710197,0,3,6
711476,0,2,6
712785,0,2,5
721099,0,2,5
721785,0,2,6
724293,0,2,5
724384,0,2,6
727449,0,2,6
728149,0,2,5
728182,0,2,6
734997,0,2,5
736721,0,2,5
738041,0,2,6
742356,0,2,5
748583,0,2,6
748611,0,2,6
753109,0,2,6
755914,0,2,6
756962,0,2,5
760011,0,2,6
760901,0,2,6
765671,0,2,6
771151,0,2,6
771443,0,2,6
774840,0,2,6
775346,0,2,6
779739,0,2,6
782716,0,2,6
783764,0,2,6
784302,0,2,5
786753,0,2,6
792181,0,2,6
793155,0,2,5
793197,0,2,5
793283,0,2,5
794128,0,2,5
795996,0,2,5
799149,0,2,6
800447,0,2,5
801641,0,2,5
802308,0,2,6
804819,0,2,6
804979,0,2,5
805136,0,2,5
807968,0,2,6
814850,0,2,6
820807,0,2,6
831848,0,2,6
839274,0,2,6
843554,0,2,6
844175,0,2,5
845783,0,2,6
848003,0,2,6
851426,0,2,6
856144,0,2,5
856159,0,2,6
860243,0,2,6
860901,0,2,5
861745,0,2,6
863161,0,2,5
864454,0,2,5
866660,0,2,6
866891,0,2,6
870077,0,2,6
875089,0,2,6
879224,0,2,6
882553,0,2,6
884011,0,2,6
887594,0,2,5
890372,0,2,6
894673,0,2,5
895653,0,2,6
896852,0,2,6
899692,0,2,6
900810,0,2,4
900959,0,2,5
901705,0,2,5
904529,0,2,6
908186,0,2,5
913527,0,2,6
924071,0,2,6
928170,0,2,5
928446,0,2,6
928815,0,2,6
929391,0,2,6
929980,0,2,5
932998,0,2,5
938719,0,2,5
942017,0,2,5
943633,0,2,5
945948,0,2,6
946927,0,2,6
947398,0,2,6
949444,0,2,6
950742,0,2,5
952074,0,2,6
955035,0,2,6
956435,0,2,6
957336,0,2,6
958900,0,2,5
960029,0,2,6
960170,0,2,5
961432,0,2,6
961946,0,2,6
962153,0,2,5
963303,0,2,6
963604,0,2,6
970839,0,2,6
971492,0,2,5
973837,0,2,6
980397,0,2,6
982086,0,2,6
985224,0,2,6
986796,0,2,6
987728,0,2,6
987914,0,2,6
991818,0,2,5
992609,0,2,5
995480,0,2,5
999368,0,2,5
