,Perturbation,Interphase,Interobserver
wavelet_LHL_glszm_ZoneVariance,0.930198153,0.907551031921678,0.0588621574011784
wavelet_LHL_gldm_DependenceEntropy,0.925391115,0.8846522486468724,0.6540300306753886
wavelet_LHL_gldm_DependenceNonUniformity,0.992781871,0.98768084882797,0.7109403554482921
wavelet_LHL_gldm_DependenceNonUniformityNormalized,0.930987396,0.9325454284339147,0.7952461111587114
wavelet_LHL_gldm_DependenceVariance,0.897036636,0.8968224570750964,0.7869514235692164
wavelet_LHL_gldm_GrayLevelNonUniformity,0.989298266,0.984349237739118,0.4176456499990674
wavelet_LHL_gldm_GrayLevelVariance,0.867143255,0.9045775567353628,0.6908221787983365
wavelet_LHL_gldm_HighGrayLevelEmphasis,0.355401622,0.6037927269233828,0.5860123263361683
wavelet_LHL_gldm_LargeDependenceEmphasis,0.900229774,0.908907113827182,0.784023994331643
wavelet_LHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.806237853,0.8848959893225722,0.7742985505609855
wavelet_LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.758945333,0.8534891049777783,0.6539561293387222
wavelet_LHL_gldm_LowGrayLevelEmphasis,0.621527836,0.6878210239707951,0.1358274198220422
wavelet_LHL_gldm_SmallDependenceEmphasis,0.924404854,0.9383683111392728,0.756306193522129
wavelet_LHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.794035045,0.856751815722029,0.6602147750306264
wavelet_LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.775588526,0.836484102574251,0.482558137543739
wavelet_LHL_ngtdm_Busyness,0.988684904,0.9925861506775676,0.5650253140383261
wavelet_LHL_ngtdm_Coarseness,0.97478033,0.9982313354557082,0.2978739046647308
wavelet_LHL_ngtdm_Complexity,0.767020239,0.8346531055630306,0.7619733002199507
wavelet_LHL_ngtdm_Contrast,0.875971684,0.9111788573911872,0.0580725679436803
wavelet_LHL_ngtdm_Strength,0.956611585,0.980653822233247,0.2456403276816718
wavelet_LHH_firstorder_10Percentile,0.995197483,0.9882207739392592,0.9822536212609948
wavelet_LHH_firstorder_90Percentile,0.995414729,0.9881892771004688,0.9822292746830574
wavelet_LHH_firstorder_Energy,0.997066802,0.9747017531520388,0.9351625146893288
wavelet_LHH_firstorder_Entropy,0.865734892,0.870665010187841,0.8166373038315383
wavelet_LHH_firstorder_InterquartileRange,0.995677779,0.9881751959537962,0.9759234437484188
wavelet_LHH_firstorder_Kurtosis,0.77609203,0.8332697694977352,0.7759963767975046
wavelet_LHH_firstorder_Maximum,0.9603415,0.966219225337754,0.9688202883037164
wavelet_LHH_firstorder_MeanAbsoluteDeviation,0.99600463,0.9887324901812043,0.9832778388937417
wavelet_LHH_firstorder_Mean,0.279716383,0.7917103091150967,0.2992813835924983
wavelet_LHH_firstorder_Median,0.291606186,0.6448323856658695,0.3085736764336748
wavelet_LHH_firstorder_Minimum,0.957808827,0.9698813231078904,0.9687479845486414
wavelet_LHH_firstorder_Range,0.967166005,0.9738187781928882,0.9759055814538344
wavelet_LHH_firstorder_RobustMeanAbsoluteDeviation,0.99598068,0.988362714929494,0.9784372269683486
wavelet_LHH_firstorder_RootMeanSquared,0.995357978,0.9881893545382522,0.9853197847187684
wavelet_LHH_firstorder_Skewness,0.454779783,0.8335217398910387,0.5514819110703949
wavelet_LHH_firstorder_TotalEnergy,0.997066802,0.972803566879334,0.948974813728472
wavelet_LHH_firstorder_Uniformity,0.88353021,0.8630935241906613,0.7911484618502098
wavelet_LHH_firstorder_Variance,0.993459047,0.9737329834750846,0.967787816003416
wavelet_LHH_glcm_Autocorrelation,0.30715287,0.5771445597346897,0.5810534058090903
wavelet_LHH_glcm_ClusterProminence,0.720543062,0.8508768372638081,0.3909759882266191
